Name,Color,Rarity,Mana Value,Tier,Synergy,Buildaround,Comment,Image,Image Back
Ruthless Lawbringer,M,U,3,B,,,,https://cards.scryfall.io/large/front/9/2/927b5498-23f1-47c0-b441-7daaeb54f9b8.jpg?1712356201,
Outlaw Medic,W,C,2,C+,,,,https://cards.scryfall.io/large/front/2/f/2feaa51e-47fb-4849-b420-ee7278f3489a.jpg?1712355319,
"Satoru, the Infiltrator",M,R,2,C+,,,,https://cards.scryfall.io/large/front/a/c/acc9a5cc-2b3c-4c2f-8176-4a2d86265cc5.jpg?1712356202,
"Selvala, Eager Trailblazer",M,M,4,A-,,,,https://cards.scryfall.io/large/front/7/d/7d2e167f-7cb2-4f15-a1db-7ee56b7ba523.jpg?1712356210,
Seraphic Steed,M,R,2,A,,,,https://cards.scryfall.io/large/front/7/a/7ada7ab4-0dee-4ff3-9817-1e61ca3f2ccf.jpg?1712356210,
Slick Sequence,M,U,2,B-,,,,https://cards.scryfall.io/large/front/b/e/beb1c974-0d35-4e9f-a310-44eb2af64494.jpg?1712356219,
"Taii Wakeen, Perfect Shot",M,R,2,C,True,,Good with Deserts and Deadeye Dualist ,https://cards.scryfall.io/large/front/1/6/1643af0b-fcbf-4636-8c50-77ec77eaa34d.jpg?1712356219,
"Vial Smasher, Gleeful Grenadier",M,U,2,B,,,,https://cards.scryfall.io/large/front/3/a/3afce4e6-ac59-4fba-b63a-8fed96bbdc4a.jpg?1712356228,
Vraska Joins Up,M,R,2,D,,,,https://cards.scryfall.io/large/front/0/6/06e546c2-737e-4b17-bf60-3069b1ccdf31.jpg?1712356228,
"Vraska, the Silencer",M,M,3,C+,,,,https://cards.scryfall.io/large/front/b/0/b042abf2-c40b-4235-a4fa-2e4901c375c3.jpg?1712356238,
Wrangler of the Damned,M,U,5,D+,,,,https://cards.scryfall.io/large/front/b/4/b4d163dd-67dc-4aab-afb9-d043352d109c.jpg?1712356238,
"Wylie Duke, Atiin Hero",M,R,3,A-,,,,https://cards.scryfall.io/large/front/b/c/bc97ffcf-4f51-44cd-8daa-a7dae4592ee5.jpg?1712356248,
Prairie Dog,W,U,2,B,,,,https://cards.scryfall.io/large/front/3/7/37302b5d-e528-4baa-947a-c859e4ddcff9.jpg?1712355321,
Bandit's Haul,C,U,3,C+,True,,,https://cards.scryfall.io/large/front/6/8/68b2e74b-933b-4285-963b-dda3a986a914.jpg?1712356248,
Boom Box,C,U,2,D-,,,,https://cards.scryfall.io/large/front/e/a/ea61d964-6d73-422e-9e08-360ac66f237a.jpg?1712356258,
Gold Pan,C,C,2,D,,,,https://cards.scryfall.io/large/front/d/c/dc098aae-3d9b-453b-a37e-e102f81a8311.jpg?1712356259,
Lavaspur Boots,C,U,1,F,,,,https://cards.scryfall.io/large/front/e/5/e50709de-e6ef-4dbc-af1e-290fed279f34.jpg?1712356267,
Luxurious Locomotive,C,U,5,D,,,,https://cards.scryfall.io/large/front/c/c/cc598338-eeba-4815-a0a6-ff2dc09790d2.jpg?1712356268,
Mobile Homestead,C,U,2,C+,,,,https://cards.scryfall.io/large/front/d/5/d5fa82e4-0b77-498a-bec0-52764d24957a.jpg?1712356276,
Oasis Gardener,C,C,3,D+,,,,https://cards.scryfall.io/large/front/e/e/ee0dc663-4bfb-46d4-af79-d0143c799487.jpg?1712356276,
Redrock Sentinel,C,U,3,C,,,,https://cards.scryfall.io/large/front/8/e/8eb98381-8418-4dfd-b7d1-4353570e611b.jpg?1712356285,
Silver Deputy,C,C,2,D,,,,https://cards.scryfall.io/large/front/3/9/39d2c11d-1eb8-4768-bc61-fa8f20a69462.jpg?1712356286,
Sterling Hound,C,C,3,C-,,,,https://cards.scryfall.io/large/front/9/e/9e5bfcf5-6e5c-47fe-af6c-6b18938261c6.jpg?1712356295,
Prosperity Tycoon,W,U,4,B,,,,https://cards.scryfall.io/large/front/f/8/f87824f3-aa9f-4d3d-99f7-0fbca43d8a51.jpg?1712355328,
Tomb Trawler,C,U,2,D-,,,,https://cards.scryfall.io/large/front/3/6/36e61cb8-219a-4fe6-a2e6-307665ffa38f.jpg?1712356295,
Abraded Bluffs,L,C,0,B-,,,,https://cards.scryfall.io/large/front/1/9/19e96521-b4ce-4a36-a887-200e05ccc804.jpg?1712356303,
Arid Archway,L,U,0,C,,,Only in mono colored decks or decks with very easy color requirements,https://cards.scryfall.io/large/front/3/f/3f8c8fa2-12ab-4f6a-9f7a-2bc69e9ba024.jpg?1713223021,
Bristling Backwoods,L,C,0,B-,,,,https://cards.scryfall.io/large/front/d/6/d61dfeb7-7f6b-4601-8396-2cbb98165489.jpg?1712356312,
Conduit Pylons,L,C,0,C+,,,,https://cards.scryfall.io/large/front/5/f/5ffa48cc-b991-4d47-b7ec-cf678915c758.jpg?1712356314,
Creosote Heath,L,C,0,B-,,,,https://cards.scryfall.io/large/front/c/5/c5523dac-7aa0-4486-89c8-3b22a1411f26.jpg?1712356321,
Eroded Canyon,L,C,0,B-,,,,https://cards.scryfall.io/large/front/5/c/5c9d080f-28d7-41d6-a4e0-5b3e3a5ed770.jpg?1712356324,
Festering Gulch,L,C,0,B-,,,,https://cards.scryfall.io/large/front/4/a/4ad841eb-da0d-43d4-8b60-efe30922990b.jpg?1712356329,
Forlorn Flats,L,C,0,B-,,,,https://cards.scryfall.io/large/front/9/6/963c100e-4e12-438f-b5ae-14391406dff6.jpg?1712356332,
Jagged Barrens,L,C,0,B-,,,,https://cards.scryfall.io/large/front/5/d/5d809f5b-d965-4cb1-a9f8-2048f8534373.jpg?1712356337,
Requisition Raid,W,U,1,C-,,,,https://cards.scryfall.io/large/front/1/5/154e9ba9-0d0e-4b0e-acf2-f66a993cf3a2.jpg?1712860601,
Lonely Arroyo,L,C,0,B-,,,,https://cards.scryfall.io/large/front/4/b/4b778b63-e5fc-4d63-a93b-4372f32cade2.jpg?1712356340,
Lush Oasis,L,C,0,B-,,,,https://cards.scryfall.io/large/front/9/8/988e44c5-4632-4ebb-b6ae-c3886e49d637.jpg?1712356345,
Mirage Mesa,L,C,0,B-,,,,https://cards.scryfall.io/large/front/c/3/c3d2e816-c06d-4c5d-98fe-c350d8cfab27.jpg?1712356348,
Sandstorm Verge,L,U,0,D+,,,,https://cards.scryfall.io/large/front/3/a/3ab4e0a4-2faf-456b-99e3-ee06c008538c.jpg?1712356353,
Soured Springs,L,C,0,B-,,,,https://cards.scryfall.io/large/front/6/7/67daa31c-d9c4-4c22-b29c-1b8a17d577e5.jpg?1712356357,
Bucolic Ranch,L,U,0,B-,True,,,https://cards.scryfall.io/large/front/6/c/6c4f6b81-53d0-49fb-b404-c2ad67de7493.jpg?1712356362,
Blooming Marsh,L,R,0,C+,,,,https://cards.scryfall.io/large/front/8/6/861caabb-0573-4e94-8b03-342f90465064.jpg?1712356365,
Botanical Sanctum,L,R,0,C+,,,,https://cards.scryfall.io/large/front/c/c/cc18d5f4-a56a-4f7d-9f56-ccc92cbfb7f7.jpg?1712356371,
Concealed Courtyard,L,R,0,C+,,,,https://cards.scryfall.io/large/front/b/7/b75df1f0-0513-40e4-a449-454f75de6434.jpg?1712356373,
Inspiring Vantage,L,R,0,C+,,,,https://cards.scryfall.io/large/front/8/5/85df6b6a-2dcf-4828-a4a8-e07d52e1fddd.jpg?1712356380,
Rustler Rampage,W,U,1,D,,,,https://cards.scryfall.io/large/front/3/3/33ed7ca3-894b-45f4-a15f-51b6bcd3f474.jpg?1712860605,
Spirebluff Canal,L,R,0,C+,,,,https://cards.scryfall.io/large/front/5/9/59a04e16-a767-4112-ab01-6ca1b09c286c.jpg?1712356382,
Jace Reawakened,U,M,2,D,,,,https://cards.scryfall.io/large/front/f/d/fd17e8d4-499e-4005-ae3c-bc9c44dc5a67.jpg?1712356388,
Shepherd of the Clouds,W,U,5,B+,,,,https://cards.scryfall.io/large/front/c/2/c2245f36-2138-4f01-9b70-151137a5ac59.jpg?1712355336,
Sheriff of Safe Passage,W,U,3,D,,,,https://cards.scryfall.io/large/front/c/3/c38a845d-f25d-45ab-9154-3fa5291b0ba0.jpg?1712355345,
Armored Armadillo,W,C,1,D,,,,https://cards.scryfall.io/large/front/2/6/263232df-69b8-4205-93ad-c724fe57ec11.jpg?1712355235,
Stagecoach Security,W,C,5,C+,,,,https://cards.scryfall.io/large/front/2/1/21301998-b3e6-4f3d-89f4-5e17aeb79a1e.jpg?1712355345,
Steer Clear,W,C,1,D+,,,,https://cards.scryfall.io/large/front/5/2/523a4d6e-122b-49b4-bf3d-17d29c0007fb.jpg?1712355352,
Sterling Keykeeper,W,C,2,C,,,,https://cards.scryfall.io/large/front/0/1/019d539f-04c2-43f1-8677-6d6fbb0e94f7.jpg?1712355354,
Sterling Supplier,W,C,5,C-,,,,https://cards.scryfall.io/large/front/b/6/b6000be7-67db-440e-87ba-276df20b803e.jpg?1712355360,
Take Up the Shield,W,C,2,B,,,,https://cards.scryfall.io/large/front/7/6/76a31968-ba6d-4c01-838f-4cb8c64e73fb.jpg?1712355363,
Thunder Lasso,W,U,3,D+,,,,https://cards.scryfall.io/large/front/7/3/73dff5fc-2adf-447a-b35f-e7883e0fd821.jpg?1712355369,
Trained Arynx,W,C,2,B-,,,,https://cards.scryfall.io/large/front/e/f/ef32a5f8-f69d-47dc-a800-4f0ddf4eada5.jpg?1712355371,
Vengeful Townsfolk,W,C,3,C+,,,,https://cards.scryfall.io/large/front/2/d/2df404af-571a-4867-83f5-bb4163b433ff.jpg?1712355378,
Wanted Griffin,W,C,4,C-,,,,https://cards.scryfall.io/large/front/6/2/624a176b-fe24-4441-8877-464cf172ccff.jpg?1712355379,
Archmage's Newt,U,R,2,D+,,,,https://cards.scryfall.io/large/front/a/4/a440bbd6-8e51-4db1-90d9-7fa9fc327ad5.jpg?1712355386,
Aven Interrupter,W,R,3,B,,,,https://cards.scryfall.io/large/front/d/3/d3ca43a4-d194-440f-8099-f1fa103a108d.jpg?1712355236,
Canyon Crab,U,U,2,C+,,,,https://cards.scryfall.io/large/front/b/7/b740a8a8-e1d3-4642-a214-03731c9b5553.jpg?1712355388,
Daring Thunder-Thief,U,C,4,D+,,,,https://cards.scryfall.io/large/front/b/4/b41a2bf7-248c-4f8b-92ec-3010d276cb59.jpg?1712355394,
Deepmuck Desperado,U,U,3,C,True,,,https://cards.scryfall.io/large/front/f/9/f95ee726-7465-40f8-a954-19b19e636c12.jpg?1712355396,
Djinn of Fool's Fall,U,C,5,D-,,,,https://cards.scryfall.io/large/front/4/8/48bfc6af-c651-485e-a1cc-f9d00aeaf812.jpg?1712355401,
Double Down,U,M,4,A-,,True,,https://cards.scryfall.io/large/front/8/e/8ecccdf3-98c6-4aed-8757-913623efb677.jpg?1712355404,
Duelist of the Mind,U,R,2,B+,,,,https://cards.scryfall.io/large/front/2/b/2b58e47b-c165-4a58-aa2a-033a35645adc.jpg?1712355410,
Emergent Haunting,U,U,2,B-,,,,https://cards.scryfall.io/large/front/6/2/623053a8-7abe-45ec-9f26-97e1c037120b.jpg?1712355411,
Failed Fording,U,C,2,D+,,,,https://cards.scryfall.io/large/front/6/2/62bbe11b-e959-4080-98ac-09bd57519c00.jpg?1712355418,
"Fblthp, Lost on the Range",U,R,3,D,,,,https://cards.scryfall.io/large/front/0/1/01d3e6ea-4791-4948-af22-c1bd04c34c1e.jpg?1712355420,
Fleeting Reflection,U,U,2,D+,,,,https://cards.scryfall.io/large/front/8/f/8f8c931e-219f-4032-b55b-b5975fbea1e7.jpg?1712355426,
Bounding Felidar,W,U,6,C+,,,,https://cards.scryfall.io/large/front/8/9/8925279f-c16a-43b4-b791-ce450157275b.jpg?1712355243,
"Geralf, the Fleshwright",U,M,3,B+,,,,https://cards.scryfall.io/large/front/a/f/afe3b678-b340-4c53-bbf6-19252a809d73.jpg?1712355427,
Geyser Drake,U,C,3,C,True,,,https://cards.scryfall.io/large/front/b/2/b270377b-33eb-4e5e-9d14-0da2876da74f.jpg?1712355434,
Harrier Strix,U,C,1,D,,,,https://cards.scryfall.io/large/front/7/0/70ca61a9-8938-41bf-bd14-5759f4de6521.jpg?1712355435,
Jailbreak Scheme,U,C,1,C,,,,https://cards.scryfall.io/large/front/a/4/a4be8e47-9006-4770-8d99-68a684064a43.jpg?1712860592,
The Key to the Vault,U,R,2,F,,,,https://cards.scryfall.io/large/front/1/6/166814af-a444-4a62-937e-7491673d9387.jpg?1712355445,
Loan Shark,U,C,4,C+,,,,https://cards.scryfall.io/large/front/4/9/49f12760-ff07-4c9f-a7a9-1e64bd3a9adf.jpg?1712355452,
Marauding Sphinx,U,U,5,B,,,,https://cards.scryfall.io/large/front/3/4/34071884-c5b6-42c0-9eb3-9f32910c29d8.jpg?1712355453,
Metamorphic Blast,U,U,1,C+,,,,https://cards.scryfall.io/large/front/b/d/bd38d922-cfc1-43a8-82d8-5de441c71076.jpg?1712860596,
Nimble Brigand,U,U,3,C,,,,https://cards.scryfall.io/large/front/7/3/73c74d48-362d-4c3b-9ff7-39bdd19657a6.jpg?1712355461,
Outlaw Stitcher,U,U,4,B-,,,,https://cards.scryfall.io/large/front/b/a/ba9584f0-55b8-448d-99a7-041934053f42.jpg?1712355468,
Bovine Intervention,W,U,2,F,,,,https://cards.scryfall.io/large/front/2/6/26c36742-456f-4618-99bc-793ef20b31b0.jpg?1712355244,
Peerless Ropemaster,U,C,5,D+,,,,https://cards.scryfall.io/large/front/a/e/ae044509-2f31-4506-a124-0e445b7181a2.jpg?1712355469,
Phantom Interference,U,C,1,C+,,,,https://cards.scryfall.io/large/front/0/0/00bf4dd1-5468-4594-9c7b-0737610f19d4.jpg?1712860598,
Plan the Heist,U,U,4,C,,,,https://cards.scryfall.io/large/front/1/e/1e8c3a0e-d61c-457f-ac85-577d0bb94b96.jpg?1712355477,
Razzle-Dazzler,U,C,2,D+,True,,,https://cards.scryfall.io/large/front/f/7/f7d08008-9272-405e-82ef-566e6d42bb17.jpg?1712355485,
Seize the Secrets,U,C,3,C-,,,,https://cards.scryfall.io/large/front/1/b/1bdbdfa8-aa28-4b3d-95e7-3d0e7e37f982.jpg?1712355485,
Shackle Slinger,U,U,3,D,,,,https://cards.scryfall.io/large/front/e/6/e6cfe383-e483-47e7-99d1-991a06b089bc.jpg?1712355493,
Shifting Grift,U,U,2,D-,,,,https://cards.scryfall.io/large/front/2/0/20b8313b-a680-4dca-959a-1a7fa5cb4b1b.jpg?1712860608,
Slickshot Lockpicker,U,U,3,B-,,,,https://cards.scryfall.io/large/front/1/0/109a9464-ce30-4747-874e-3bbf75913081.jpg?1712355500,
Slickshot Vault-Buster,U,C,3,D,,,,https://cards.scryfall.io/large/front/5/9/592ccc36-3d10-4a12-8743-9b300b80cb4d.jpg?1712355501,
Spring Splasher,U,C,2,D+,,,,https://cards.scryfall.io/large/front/b/6/b6822d12-1a25-42e7-94cc-71bd29daed93.jpg?1712355509,
Bridled Bighorn,W,C,4,D+,,,,https://cards.scryfall.io/large/front/f/a/fa7bf089-fa9b-4ffc-bf84-45cd51c76463.jpg?1712355251,
Step Between Worlds,U,R,5,F,,,,https://cards.scryfall.io/large/front/7/0/70ea2054-3d22-42ce-ab50-501ef09c2128.jpg?1712355510,
Stoic Sphinx,U,R,4,A,,,,https://cards.scryfall.io/large/front/f/9/f93f5055-30d8-4fc4-afa5-29212e8c7536.jpg?1712355517,
Stop Cold,U,C,4,C-,,,,https://cards.scryfall.io/large/front/9/f/9ff9c158-0080-427c-8cf9-0289011ea63e.jpg?1712355518,
Take the Fall,U,C,1,B-,,,,https://cards.scryfall.io/large/front/9/f/9fea80c4-923c-40a1-9363-bfa4c267a024.jpg?1712355525,
This Town Ain't Big Enough,U,U,5,C+,,,,https://cards.scryfall.io/large/front/b/b/bb206e27-da4d-4abe-9d8c-6d18c5f2f52a.jpg?1712355528,
Three Steps Ahead,U,R,1,B,,,,https://cards.scryfall.io/large/front/8/f/8fffd839-2337-4a14-9312-cee085a17f4b.jpg?1712860611,
Visage Bandit,U,U,4,C,,,,https://cards.scryfall.io/large/front/6/8/685ec4c6-3332-498f-8b56-d7ad8fc5230c.jpg?1712355536,
Ambush Gigapede,B,C,6,C+,,,,https://cards.scryfall.io/large/front/9/3/93b17d09-974a-4e33-b14d-5fe4230ab241.jpg?1712355541,
Binding Negotiation,B,U,2,C,,,,https://cards.scryfall.io/large/front/1/c/1c4c26b9-981f-47cf-b0f4-769e788d9537.jpg?1712355546,
Blacksnag Buzzard,B,C,3,D,,,,https://cards.scryfall.io/large/front/e/f/ef10b2ad-9b9b-4c5d-a2c7-3ce742224b50.jpg?1712355550,
Claim Jumper,W,R,3,C,,,,https://cards.scryfall.io/large/front/6/5/654ade6b-0369-4b90-a744-2f57a45b04f4.jpg?1712355252,
Blood Hustler,B,U,2,C-,,,,https://cards.scryfall.io/large/front/1/0/1016a750-2a18-4443-a600-957eb4026d3a.jpg?1712355556,
Boneyard Desecrator,B,C,4,D,,,,https://cards.scryfall.io/large/front/d/4/d43981b1-60c8-4896-8885-b07e73b99b30.jpg?1712355558,
Caustic Bronco,B,R,2,B+,,,,https://cards.scryfall.io/large/front/e/9/e9a268ba-c442-4fe4-90b4-2810c8474f4e.jpg?1712355566,
Consuming Ashes,B,C,4,B,,,,https://cards.scryfall.io/large/front/5/4/54f96be9-60fc-4e2f-9172-4cc53c9a095a.jpg?1712355566,
Corrupted Conviction,B,C,1,D+,,,,https://cards.scryfall.io/large/front/8/0/8046f892-3317-4ef7-9cf7-97b9060540c8.jpg?1712355575,
Desert's Due,B,C,2,B-,,,,https://cards.scryfall.io/large/front/3/5/35e899e4-e2de-44cf-b6f4-cace8d3770cb.jpg?1712355575,
Desperate Bloodseeker,B,C,2,C+,,,,https://cards.scryfall.io/large/front/a/5/a59da027-b5dd-4920-b3a1-9da05fcb1977.jpg?1712355583,
Fake Your Own Death,B,C,2,C-,,,,https://cards.scryfall.io/large/front/7/9/79a17ab9-13c9-41d4-a143-82d8caacfd8b.jpg?1712355584,
Forsaken Miner,B,U,1,C+,,,,https://cards.scryfall.io/large/front/1/6/1679f74d-00f8-436c-9f8c-aa3f843a546c.jpg?1712355591,
"Gisa, the Hellraiser",B,M,5,A,,,,https://cards.scryfall.io/large/front/d/b/db7c07b2-02b2-4e62-bf1b-4848e06eec28.jpg?1712355592,
Dust Animus,W,R,2,A,,,,https://cards.scryfall.io/large/front/7/0/70719e7b-6f02-4c1a-9f11-79b2b0d9846a.jpg?1712355260,
Hollow Marauder,B,U,7,A-,,,,https://cards.scryfall.io/large/front/d/f/df2913d5-57c7-4f9b-bc96-8a46beef2563.jpg?1712355599,
Insatiable Avarice,B,R,1,D-,,,,https://cards.scryfall.io/large/front/a/1/a108b0e4-1b43-4659-9e91-facb0bd57ebb.jpg?1712860590,
"Kaervek, the Punisher",B,R,3,C,,,,https://cards.scryfall.io/large/front/7/f/7f3affc1-be42-48c7-89ff-b59550ff278c.jpg?1712355608,
Lively Dirge,B,U,2,C+,True,,,https://cards.scryfall.io/large/front/0/c/0c35a0d3-12f7-46f3-a6b3-02a490d45ca0.jpg?1712860594,
Mourner's Surprise,B,C,2,B-,,,,https://cards.scryfall.io/large/front/9/8/980b0b68-7218-49c6-b6bf-022218f3abf4.jpg?1712355617,
Neutralize the Guards,B,U,3,SB,,,,https://cards.scryfall.io/large/front/6/0/60f1a481-598e-4e05-8471-eedb12a39022.jpg?1712355617,
Nezumi Linkbreaker,B,C,1,C,True,,Needs sac effects to be good,https://cards.scryfall.io/large/front/6/d/6dd0095b-6136-4368-94cb-4c82621aaf37.jpg?1712355626,
Overzealous Muscle,B,C,5,D-,,,,https://cards.scryfall.io/large/front/c/e/ce57d977-e9c5-4ed1-915f-cdc90a54f8f8.jpg?1712355627,
Pitiless Carnage,B,R,4,D-,,,,https://cards.scryfall.io/large/front/f/a/fa76fc45-a106-4dc9-9d44-a005eaa2784d.jpg?1712355634,
Rakish Crew,B,U,3,C+,True,,,https://cards.scryfall.io/large/front/7/0/70f64358-58db-40ab-90e8-6137c3bd0a29.jpg?1712355636,
Fell the Mighty,W,R,5,C,,,,https://cards.scryfall.io/large/front/f/b/fbd897e0-0f6b-4a35-9f33-a16d85ddfad8.jpg?1712353389,
Essence Capture,U,U,2,B-,,,,https://cards.scryfall.io/large/front/d/2/d2bcfba6-fbd8-487c-8a89-2327c3d07870.jpg?1712353424,
Mana Drain,U,M,2,A-,,,,https://cards.scryfall.io/large/front/4/c/4c7f0ea5-a142-4157-b85d-ec49dd79adf6.jpg?1712353431,
Mindbreak Trap,U,M,4,D,,,,https://cards.scryfall.io/large/front/4/d/4ddb33dd-a92a-4f71-bcb3-56678ef5e45d.jpg?1712353434,
Repulse,U,U,3,B-,,,,https://cards.scryfall.io/large/front/8/8/88941ed3-1cae-47ce-8ccb-938c5d0e767f.jpg?1712353439,
Heartless Pillage,B,U,3,D+,,,,https://cards.scryfall.io/large/front/d/0/d06a1a70-aa26-4178-8486-e0a25c907cdb.jpg?1712353444,
Imp's Mischief,B,R,2,SB,,,,https://cards.scryfall.io/large/front/4/1/41137be4-cfc2-40dc-873a-b9a63d0d8ea6.jpg?1712353448,
Murder,B,U,3,C+,,,,https://cards.scryfall.io/large/front/6/c/6c776ca4-4950-4a27-8ce2-fbe534579d62.jpg?1712353452,
Overwhelming Forces,B,M,8,A+,,True,,https://cards.scryfall.io/large/front/0/d/0d16af8d-4967-4244-8622-c6fa03ac739b.jpg?1712353456,
Reanimate,B,R,1,C-,,,,https://cards.scryfall.io/large/front/6/0/609c34f9-9f53-4773-a02b-517209024fc2.jpg?1712353461,
Surgical Extraction,B,R,1,F,,,,https://cards.scryfall.io/large/front/1/1/11cc603a-5d60-4959-a03f-e3dfbee4606b.jpg?1712353465,
Fierce Retribution,W,U,2,C+,,,,https://cards.scryfall.io/large/front/9/2/92270719-352d-426f-b498-fbeaf8fd087b.jpg?1712353389,
Thoughtseize,B,M,1,C-,,,,https://cards.scryfall.io/large/front/5/e/5e85d5db-ced3-406d-90d2-e506a9332468.jpg?1712353469,
Collective Defiance,R,R,3,B-,,,,https://cards.scryfall.io/large/front/c/b/cbaaa9e0-e5d4-4ae1-8082-cc018eb1fe39.jpg?1712353473,
Crackle with Power,R,M,2,B,,,,https://cards.scryfall.io/large/front/d/7/d7cdccd8-13c0-49ab-9fc9-554e7897e782.jpg?1712353479,
Electrodominance,R,R,2,C+,,,,https://cards.scryfall.io/large/front/6/d/6d550bc9-2cb5-4947-a48d-2c92b5c72541.jpg?1712353482,
Fling,R,U,2,D+,,,,https://cards.scryfall.io/large/front/1/c/1cddae19-eb96-475c-9800-17ac57df4c0a.jpg?1712353488,
Indomitable Creativity,R,M,3,F,,,,https://cards.scryfall.io/large/front/1/8/18cb625b-a41f-4f3b-8f56-257a3795aa8f.jpg?1712353490,
Skewer the Critics,R,U,3,C,,,,https://cards.scryfall.io/large/front/9/f/9f3261b6-4f5c-4cf0-a396-1d9397603602.jpg?1712353496,
Skullcrack,R,R,2,F,,,,https://cards.scryfall.io/large/front/1/7/170a06cd-501e-43c8-98e0-63ebd61cc0aa.jpg?1713221826,
Clear Shot,G,U,3,A-,,,,https://cards.scryfall.io/large/front/4/f/4f362332-3682-4638-bc8b-6984f48e3464.jpg?1712353505,
Force of Vigor,G,M,4,SB,,,,https://cards.scryfall.io/large/front/3/d/3d98d6a5-36a0-441f-ac64-9d02b2dbb773.jpg?1712353508,
Journey to Nowhere,W,U,2,B+,,,,https://cards.scryfall.io/large/front/4/4/442bb671-8b23-4e3b-bf39-18152a68887e.jpg?1712353397,
Pest Infestation,G,R,1,A,,,,https://cards.scryfall.io/large/front/8/4/8407c498-b972-49fe-b30a-a864c39ddc7a.jpg?1712353514,
Primal Command,G,R,5,B-,,,,https://cards.scryfall.io/large/front/4/4/4416de3b-ba68-44a9-843b-26743813c661.jpg?1712353516,
Primal Might,G,R,1,A-,,,,https://cards.scryfall.io/large/front/d/1/d11a1ac4-b025-4bc7-a00f-5de04acefbf8.jpg?1712353523,
Thornado,G,U,3,SB,,,,https://cards.scryfall.io/large/front/8/e/8eb4b155-ddde-465d-bd2e-3b7eb32bc052.jpg?1712353525,
Abrupt Decay,M,R,2,C+,,,,https://cards.scryfall.io/large/front/8/4/84f71a16-915d-4b8e-8c39-cc46bcaa9de9.jpg?1713541398,
Anguished Unmaking,M,M,3,D,,,,https://cards.scryfall.io/large/front/c/0/c03cc4a3-a526-4811-871e-290ae5bbe424.jpg?1712353533,
Back for More,M,U,6,B+,,,,https://cards.scryfall.io/large/front/f/5/f55e5aca-b6fe-4b2f-9943-568f4d1704ca.jpg?1712353541,
Bedevil,M,R,3,C,,,,https://cards.scryfall.io/large/front/2/4/2473bb43-4de4-402a-884b-42fd9fcadd7d.jpg?1712353542,
Buried in the Garden,M,U,4,B+,,,,https://cards.scryfall.io/large/front/5/0/507073ca-4f97-4fcb-b570-233f096bf0fd.jpg?1712353549,
Crime // Punishment,M,M,7,C,,,,https://cards.scryfall.io/large/front/c/e/ce4bc5b7-233c-4076-8268-7f9bd346ec55.jpg?1713769156,
Leyline Binding,W,M,6,C+,,,,https://cards.scryfall.io/large/front/5/f/5f48b1fe-175a-40bb-be21-84b5c768403e.jpg?1712353398,
Cruel Ultimatum,M,R,7,B,,True,,https://cards.scryfall.io/large/front/5/3/539e00a6-6cb0-4960-8a45-52d70b575f5a.jpg?1712353558,
Decimate,M,R,4,F,,,,https://cards.scryfall.io/large/front/a/6/a6166dde-22d8-4fd1-93f9-c4e7762ae2a0.jpg?1712353560,
Decisive Denial,M,U,2,C,,,,https://cards.scryfall.io/large/front/5/4/54ee0802-62c1-46ac-907e-82ace59fbddb.jpg?1712353566,
Detention Sphere,M,R,3,C+,,,,https://cards.scryfall.io/large/front/b/b/bb049418-44db-4f98-9d53-385c5cd0f5cc.jpg?1713846612,
Endless Detour,M,R,3,C-,,,,https://cards.scryfall.io/large/front/7/0/70afd040-59a8-491e-bd2a-92a12cda96dd.jpg?1712353575,
Fractured Identity,M,M,5,A+,,,,https://cards.scryfall.io/large/front/b/d/bd1db186-dd74-4e05-905c-34321fb3d641.jpg?1712353578,
Hindering Light,M,U,2,D+,,,,https://cards.scryfall.io/large/front/8/6/860f4304-38f1-4c2f-a122-2590619522fd.jpg?1712353583,
Humiliate,M,U,2,C+,,,,https://cards.scryfall.io/large/front/4/5/454bb7c2-cb7b-4601-9f50-2d24e3ffe1c1.jpg?1712353587,
Hypothesizzle,M,U,5,B-,,,,https://cards.scryfall.io/large/front/4/4/4448d31e-faf4-4281-af48-4f638b939a62.jpg?1712353591,
Ionize,M,R,3,B-,,,,https://cards.scryfall.io/large/front/9/8/98c75555-8fe0-4902-a2c7-b807d95b71ab.jpg?1712353595,
Pariah,W,R,3,F,,,,https://cards.scryfall.io/large/front/1/9/1995fed6-992f-4333-afa6-63d61cfdfa00.jpg?1712353406,
"Oko, Thief of Crowns",M,M,3,A+,,,,https://cards.scryfall.io/large/front/6/5/659e8760-c7a8-445d-bfef-7cd445ea67c3.jpg?1712353600,
Outlaws' Merriment,M,R,4,B+,,,,https://cards.scryfall.io/large/front/e/b/eb214fdf-edb1-49ab-8f98-dea62475f2fc.jpg?1712353604,
Ride Down,M,U,2,D+,,,,https://cards.scryfall.io/large/front/f/1/f1ec2b59-fbc5-464c-916c-b1accf29867d.jpg?1712353609,
Savage Smash,M,U,3,B-,,,,https://cards.scryfall.io/large/front/4/b/4b05cacb-1f62-46ca-90a0-202d4adcff2c.jpg?1712353613,
Siphon Insight,M,R,2,C+,,,,https://cards.scryfall.io/large/front/0/7/07fb25f7-1fb7-4c2a-abb8-adfb24860bce.jpg?1712353618,
Terminal Agony,M,U,4,C+,True,,,https://cards.scryfall.io/large/front/e/b/ebccedbd-558c-419d-a18f-8751afd937b2.jpg?1712353622,
